representation,predictor,split,group,trial,model_detail,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,val_rmse,external_rmse,n,rmse,mae,r2,bias,params,hidden,depth,dropout,lr,weight_decay,batch_size,max_epochs,best_epoch,device,method,k,weights,metric
ecfp,rf,Train,all,6,ExtraTreesRegressor,,,,,,,,,1.3131968384434014,1.4837415162487342,6437,0.7791505279433737,0.5523970471211849,0.8860711353519869,9.713804683375611e-17,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 600, 'n_jobs': -1, 'oob_score': False, 'random_state': 261746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
ecfp,rf,Train,not_all6_bad,6,ExtraTreesRegressor,,,,,,,,,1.3131968384434014,1.4837415162487342,6437,0.7791505279433737,0.5523970471211849,0.8860711353519869,9.713804683375611e-17,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 600, 'n_jobs': -1, 'oob_score': False, 'random_state': 261746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
ecfp,rf,Val,all,6,ExtraTreesRegressor,,,,,,,,,1.3131968384434014,1.4837415162487342,1610,1.3131968384434014,0.9667086076896418,0.6749824710763486,0.0043409098665514,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 600, 'n_jobs': -1, 'oob_score': False, 'random_state': 261746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
ecfp,rf,Val,all6_bad,6,ExtraTreesRegressor,,,,,,,,,1.3131968384434014,1.4837415162487342,74,2.859520823428702,2.603372339890824,0.2090858469620251,0.0730126717003355,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 600, 'n_jobs': -1, 'oob_score': False, 'random_state': 261746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
ecfp,rf,Val,not_all6_bad,6,ExtraTreesRegressor,,,,,,,,,1.3131968384434014,1.4837415162487342,1536,1.1889614818645835,0.8878589226747411,0.720603892281215,0.0010325046740383,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 600, 'n_jobs': -1, 'oob_score': False, 'random_state': 261746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
ecfp,rf,External,all,6,ExtraTreesRegressor,,,,,,,,,1.3131968384434014,1.4837415162487342,2251,1.4837415162487342,1.0692729754827937,0.4478435603221702,-0.0511172800110936,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 600, 'n_jobs': -1, 'oob_score': False, 'random_state': 261746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
ecfp,rf,External,all6_bad,6,ExtraTreesRegressor,,,,,,,,,1.3131968384434014,1.4837415162487342,256,3.118297102229855,2.896197674621736,-0.2760104021631171,-0.6306594887907608,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 600, 'n_jobs': -1, 'oob_score': False, 'random_state': 261746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
ecfp,rf,External,not_all6_bad,6,ExtraTreesRegressor,,,,,,,,,1.3131968384434014,1.4837415162487342,1995,1.111855596224415,0.8348405328865184,0.646841433025162,0.0232500410152697,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 600, 'n_jobs': -1, 'oob_score': False, 'random_state': 261746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
ecfp,mlp,Train,all,8,TorchMLP,,,,,,,,,1.1888360488345755,1.499769828938735,6437,0.3461300643572443,0.2234946638345718,0.9775161743164062,0.0297272130846977,,384.0,3.0,0.2,0.0005964282664695,0.0002269807647964,256.0,220.0,35.0,cuda:0,,,,
ecfp,mlp,Train,not_all6_bad,8,TorchMLP,,,,,,,,,1.1888360488345755,1.499769828938735,6437,0.3461300643572443,0.2234946638345718,0.9775161743164062,0.0297272130846977,,384.0,3.0,0.2,0.0005964282664695,0.0002269807647964,256.0,220.0,35.0,cuda:0,,,,
