evaluation_id,evaluation,candidate_count_in_evaluation,representation,predictor,n,rmse,mae,bias
R04,TDC supplied test,35,BRICS-subgroup GNN,k-nearest neighbours,1997,1.1220075342374518,0.8362841249368709,0.05953274444558327
R04,TDC supplied test,35,Murcko-subgroup GNN,XGBoost,1997,1.1624539964078755,0.8503522441430045,0.0501918579405007
R04,TDC supplied test,35,Murcko-subgroup GNN,random forest,1997,1.1557783728551296,0.8441851800395578,0.01810344436751555
R04,TDC supplied test,35,Murcko-subgroup GNN,multilayer perceptron,1997,1.1844754218735796,0.8515923982212018,0.040923966093570324
R04,TDC supplied test,35,Murcko-subgroup GNN,ridge regression,1997,1.1978744663184857,0.8588132340209494,0.016256284242345487
R04,TDC supplied test,35,Murcko-subgroup GNN,k-nearest neighbours,1997,1.159845834122265,0.8470622036473524,0.045932048934211676
R05,JCheM supplied test,35,Mordred,XGBoost,980,0.7306839608786087,0.5317147737828573,-0.029396790880816356
R05,JCheM supplied test,35,Mordred,random forest,980,0.6713080140209965,0.47349817287793755,-0.016918915717937175
R05,JCheM supplied test,35,Mordred,multilayer perceptron,980,0.6593755662700161,0.44466186604665303,-0.0009201654727755509
R05,JCheM supplied test,35,Mordred,ridge regression,980,0.7594831139873612,0.5540405537526326,0.006041284966306085
R05,JCheM supplied test,35,Mordred,k-nearest neighbours,980,0.7871573772934304,0.5655943523207405,-0.02365023718318803
R05,JCheM supplied test,35,ECFP,XGBoost,980,1.2649430944366264,0.9925337572102041,-0.09259392063877558
R05,JCheM supplied test,35,ECFP,random forest,980,0.9905243304948544,0.7295864291316748,-0.008832789763651247
R05,JCheM supplied test,35,ECFP,multilayer perceptron,980,0.9290516734438511,0.705296986800612,-0.050763125881428624
R05,JCheM supplied test,35,ECFP,ridge regression,980,1.11953889112526,0.8664666536526531,-0.056293050647347
R05,JCheM supplied test,35,ECFP,k-nearest neighbours,980,1.1017508073301854,0.8371343726000312,-0.08223070722772761
R05,JCheM supplied test,35,ChemBERTa,XGBoost,980,0.8153636469802259,0.6123682125414285,-0.029846732733265328
R05,JCheM supplied test,35,ChemBERTa,random forest,980,0.7934767310425415,0.5903472399542659,-0.035184337497846205
R05,JCheM supplied test,35,ChemBERTa,multilayer perceptron,980,0.8165822259583952,0.6051838464874082,-0.05725103345300003
R05,JCheM supplied test,35,ChemBERTa,ridge regression,980,0.8195693913318983,0.6156096421280326,-0.034939043556563285
R05,JCheM supplied test,35,ChemBERTa,k-nearest neighbours,980,0.8301351128110129,0.6188591644769533,-0.03156951181661607
R05,JCheM supplied test,35,3D-MPNN,XGBoost,980,0.9031879118264804,0.6730990631666939,-0.04904959727771432
R05,JCheM supplied test,35,3D-MPNN,random forest,980,0.8893729951678777,0.6552941915697941,-0.07687505983416032
R05,JCheM supplied test,35,3D-MPNN,multilayer perceptron,980,0.7735845852417046,0.5499875720998069,-0.03611677611735798
R05,JCheM supplied test,35,3D-MPNN,ridge regression,980,0.8523660227842043,0.626114230469449,-0.022292672684591855
R05,JCheM supplied test,35,3D-MPNN,k-nearest neighbours,980,0.9028983563128642,0.6630751295154045,-0.15613746579322568
R05,JCheM supplied test,35,atom-level 2D GNN,XGBoost,980,0.7378189958437396,0.507078608067551,-0.0034404440675510485
R05,JCheM supplied test,35,atom-level 2D GNN,random forest,980,0.7265215907824902,0.48595507360810014,0.0035102659691256984
R05,JCheM supplied test,35,atom-level 2D GNN,multilayer perceptron,980,0.7415426887062,0.4950180770246531,-0.0010682634844490075
R05,JCheM supplied test,35,atom-level 2D GNN,ridge regression,980,0.7509917600766135,0.5130576049647143,-0.003894440337122456
R05,JCheM supplied test,35,atom-level 2D GNN,k-nearest neighbours,980,0.7290013727820587,0.49610732139170644,0.007069437502370575
R05,JCheM supplied test,35,BRICS-subgroup GNN,XGBoost,980,0.8041759841364478,0.5903289908557143,-0.0444833415569388
R05,JCheM supplied test,35,BRICS-subgroup GNN,random forest,980,0.7675095482023766,0.5513901337656523,-0.0442132190053806
R05,JCheM supplied test,35,BRICS-subgroup GNN,multilayer perceptron,980,0.8183579784930716,0.5942473369584897,0.014581365983755076
R05,JCheM supplied test,35,BRICS-subgroup GNN,ridge regression,980,0.8102880892759298,0.5886266439281348,-0.043776885138869404
R05,JCheM supplied test,35,BRICS-subgroup GNN,k-nearest neighbours,980,0.7654316631125607,0.551744951665735,-0.02893378664833299
R05,JCheM supplied test,35,Murcko-subgroup GNN,XGBoost,980,0.7942097027568737,0.5777089900642857,-0.010337064594897995
R05,JCheM supplied test,35,Murcko-subgroup GNN,random forest,980,0.7770833219177558,0.5536181672024707,-0.015371213750619568
R05,JCheM supplied test,35,Murcko-subgroup GNN,multilayer perceptron,980,0.7963713325811689,0.5786279222015306,0.009329981255612204
R05,JCheM supplied test,35,Murcko-subgroup GNN,ridge regression,980,0.8044253250033675,0.5855454147932653,-0.01645467833897962
R05,JCheM supplied test,35,Murcko-subgroup GNN,k-nearest neighbours,980,0.7774030382590273,0.5546591731961331,-0.008037046314084082
R09,ComPlat supplied test,10,Mordred,XGBoost,1282,0.6160355509785784,0.4708288942201248,-0.03319863329313572
R09,ComPlat supplied test,10,Mordred,random forest,1282,0.5722822499380996,0.4312001558479957,0.026536957441103536
R09,ComPlat supplied test,10,Mordred,multilayer perceptron,1282,0.6949279186955306,0.5291666762412636,0.005169523184321362
R09,ComPlat supplied test,10,Mordred,ridge regression,1282,0.665235692841331,0.5225700409141966,-0.006685890098283931
R09,ComPlat supplied test,10,Mordred,k-nearest neighbours,1282,0.7115738594366094,0.5501479608137063,-0.0009055588013162329
R09,ComPlat supplied test,10,ECFP,XGBoost,1282,1.3062592698025084,1.0133590137519501,-0.23391518897815913
R09,ComPlat supplied test,10,ECFP,random forest,1282,1.2038557985683171,0.8809961978939672,-0.1295841290079993
R09,ComPlat supplied test,10,ECFP,multilayer perceptron,1282,1.1006822886723715,0.8122256317774571,-0.12419911726887675
R09,ComPlat supplied test,10,ECFP,ridge regression,1282,1.1558737322813843,0.8773488834744619,-0.07092102531056163
R09,ComPlat supplied test,10,ECFP,k-nearest neighbours,1282,1.3022758624980857,0.9905112152254297,-0.3799560382056528
