evaluation_id,evaluation,axis,level,level_index,n,sparse_n_lt_100,xgb_evidentiary_status,neural_evidentiary_status,dlg_mae,xgb_mae,neural_mae,delta_mae_xgb,delta_mae_xgb_ci95_low,delta_mae_xgb_ci95_high,delta_mae_neural,delta_mae_neural_ci95_low,delta_mae_neural_ci95_high,bootstrap_seed_xgb,bootstrap_seed_neural
R04,TDC supplied Test,Molecular weight,<250 Da,0,827,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6084437061732904,0.6357083042761791,0.6422315951223458,-0.0272645981028887,-0.0425830538570968,-0.0127935275728567,-0.0337878889490554,-0.0481122681748406,-0.0195295521522455,20263823,20263824
R04,TDC supplied Test,Molecular weight,250--<400 Da,1,865,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6728164018250111,0.7397360317557224,0.6883589870827513,-0.0669196299307113,-0.0869418010953861,-0.0475220283703161,-0.0155425852577402,-0.0337084226568885,0.0031218174086181,20263833,20263834
R04,TDC supplied Test,Molecular weight,>=400 Da,2,305,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,1.0849228457472384,1.2415667364,1.0060892949855735,-0.1566438906527616,-0.2039465786671923,-0.1109818199126904,0.0788335507616648,0.034666044764149,0.1252005558894212,20263843,20263844
R04,TDC supplied Test,Rotatable bonds,0,3,345,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.7021181444063005,0.7471998337834784,0.710968267766087,-0.0450816893771779,-0.0711169450520432,-0.0191750780647098,-0.0088501233597865,-0.0345902854202468,0.0178357645591499,20263853,20263854
R04,TDC supplied Test,Rotatable bonds,1--4,4,1119,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6281414176486054,0.691350775075782,0.6493440325979088,-0.0632093574271766,-0.0798824312364054,-0.0470913378051466,-0.0212026149493034,-0.0362985539735816,-0.0061934109911806,20263863,20263864
R04,TDC supplied Test,Rotatable bonds,>=5,5,533,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.8835827286451976,0.9622417068330206,0.8658785424146341,-0.0786589781878229,-0.1085294683999704,-0.0501249280921287,0.0177041862305634,-0.0099873679703567,0.0460808937840828,20263873,20263874
R04,TDC supplied Test,H-bond donor,no,6,756,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.651729059761108,0.7161432943488095,0.672731907510291,-0.0644142345877015,-0.08687183690623,-0.0426599280209569,-0.021002847749183,-0.0420315533078897,0.0007261549839876,20263883,20263884
R04,TDC supplied Test,H-bond donor,yes,7,1241,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.7440478898931956,0.8081192257690573,0.7452280144122321,-0.0640713358758616,-0.0794722118660634,-0.0487937738248561,-0.0011801245190364,-0.0157863962841877,0.0130692064787685,20263893,20263894
R04,TDC supplied Test,H-bond acceptor,no,8,98,True,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6083381017350169,0.63440745015,0.6296103481295917,-0.026069348414983,-0.0890602908856716,0.0300721492954948,-0.0212722463945748,-0.0769816129691329,0.0393822606405652,20263903,20263904
R04,TDC supplied Test,H-bond acceptor,yes,9,1899,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.7142988238898482,0.7804678038927856,0.7223335828576408,-0.0661689800029373,-0.0791406221568003,-0.0531742813602178,-0.0080347589677925,-0.020001927987493,0.0045765698208652,20263913,20263914
