evaluation_id,evaluation,n,configuration_id,representation_1,representation_2,predictor,rmse,mae,bias,dlg_sol_rmse,dlg_sol_lower_point_estimate
R02,ComPlat OOF after global preselection,17937,chemberta__brics_gnn__knn,ChemBERTa,BRICS-subgroup GNN,k-nearest neighbours,0.9887911649131266,0.672319474536791,0.008543807575942681,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__brics_gnn__rf,Mordred,BRICS-subgroup GNN,random forest,0.9888320188869703,0.6474882824664884,-0.0023073551247088683,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__murcko_gnn__mlp,Mordred,Murcko-subgroup GNN,multilayer perceptron,0.990208425075619,0.6566643782684916,0.011210664356583482,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__chemberta__xgb,Mordred,ChemBERTa,XGBoost,0.9905943631994761,0.6697792646297546,0.001296811839784248,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__atom_gnn__knn,ChemBERTa,atom-level 2D GNN,k-nearest neighbours,0.9910583401305602,0.6738675817406268,0.013138586455380356,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__murcko_gnn__knn,ChemBERTa,Murcko-subgroup GNN,k-nearest neighbours,0.9923233634262418,0.6765770118066475,0.01309043678196531,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__murcko_gnn__mlp,ChemBERTa,Murcko-subgroup GNN,multilayer perceptron,0.9928718940412695,0.6704406902705157,0.000498306507152234,0.879214,True
R02,ComPlat OOF after global preselection,17937,murcko_gnn__three_d_gnn__rf,Murcko-subgroup GNN,3D-MPNN,random forest,0.9947783790502392,0.6500639114865933,-0.0050304637036243886,0.879214,True
R02,ComPlat OOF after global preselection,17937,ecfp__chemberta__xgb,ECFP,ChemBERTa,XGBoost,0.9950160341569253,0.6756549001219387,0.0001347625435828195,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__ecfp__ridge,Mordred,ECFP,ridge regression,0.995432361872405,0.6821929216106423,0.002236771182829809,0.879214,True
